model,mode,report,matrix,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,accuracy,macro avg_precision,macro avg_recall,macro avg_f1,weighted avg_precision,weighted avg_recall,weighted avg_f1
FastText,,"              precision    recall  f1-score   support

         非谣言     0.9491    0.8781    0.9122       361
          谣言     0.8027    0.9133    0.8544       196

    accuracy                         0.8905       557
   macro avg     0.8759    0.8957    0.8833       557
weighted avg     0.8976    0.8905    0.8919       557

","[['317', '44'], ['17', '179']]",0.9491,0.8781,0.9122,361,0.8027,0.9133,0.8544,196,0.8905,0.8759,0.8957,0.8833,0.8976,0.8905,0.8919
FastText,gp_raw_topic,"              precision    recall  f1-score   support

         非谣言     0.9220    0.9169    0.9194       361
          谣言     0.8485    0.8571    0.8528       196

    accuracy                         0.8959       557
   macro avg     0.8852    0.8870    0.8861       557
weighted avg     0.8961    0.8959    0.8960       557

","[['331', '30'], ['28', '168']]",0.9220,0.9169,0.9194,361,0.8485,0.8571,0.8528,196,0.8959,0.8852,0.8870,0.8861,0.8961,0.8959,0.8960
FastText,gp_raw_topic_cos,"              precision    recall  f1-score   support

         非谣言     0.9103    0.9280    0.9191       361
          谣言     0.8624    0.8316    0.8468       196

    accuracy                         0.8941       557
   macro avg     0.8864    0.8798    0.8829       557
weighted avg     0.8935    0.8941    0.8936       557

","[['335', '26'], ['33', '163']]",0.9103,0.9280,0.9191,361,0.8624,0.8316,0.8468,196,0.8941,0.8864,0.8798,0.8829,0.8935,0.8941,0.8936
FastText,gp_raw_topic_length,"              precision    recall  f1-score   support

         非谣言     0.8992    0.9391    0.9187       361
          谣言     0.8778    0.8061    0.8404       196

    accuracy                         0.8923       557
   macro avg     0.8885    0.8726    0.8796       557
weighted avg     0.8917    0.8923    0.8912       557

","[['339', '22'], ['38', '158']]",0.8992,0.9391,0.9187,361,0.8778,0.8061,0.8404,196,0.8923,0.8885,0.8726,0.8796,0.8917,0.8923,0.8912
FastText,gp_raw_topic_linguistic,"              precision    recall  f1-score   support

         非谣言     0.9121    0.9197    0.9159       361
          谣言     0.8497    0.8367    0.8432       196

    accuracy                         0.8905       557
   macro avg     0.8809    0.8782    0.8795       557
weighted avg     0.8901    0.8905    0.8903       557

","[['332', '29'], ['32', '164']]",0.9121,0.9197,0.9159,361,0.8497,0.8367,0.8432,196,0.8905,0.8809,0.8782,0.8795,0.8901,0.8905,0.8903
FastText,gp_raw_topic_linguistic_sentiment,"              precision    recall  f1-score   support

         非谣言     0.8989    0.9363    0.9172       361
          谣言     0.8729    0.8061    0.8382       196

    accuracy                         0.8905       557
   macro avg     0.8859    0.8712    0.8777       557
weighted avg     0.8898    0.8905    0.8894       557

","[['338', '23'], ['38', '158']]",0.8989,0.9363,0.9172,361,0.8729,0.8061,0.8382,196,0.8905,0.8859,0.8712,0.8777,0.8898,0.8905,0.8894
FastText,gp_raw_topic_sentiment,"              precision    recall  f1-score   support

         非谣言     0.9079    0.9280    0.9178       361
          谣言     0.8617    0.8265    0.8438       196

    accuracy                         0.8923       557
   macro avg     0.8848    0.8773    0.8808       557
weighted avg     0.8916    0.8923    0.8917       557

","[['335', '26'], ['34', '162']]",0.9079,0.9280,0.9178,361,0.8617,0.8265,0.8438,196,0.8923,0.8848,0.8773,0.8808,0.8916,0.8923,0.8917
FastText,gp_topic,"              precision    recall  f1-score   support

         非谣言     0.9464    0.8809    0.9125       361
          谣言     0.8054    0.9082    0.8537       196

    accuracy                         0.8905       557
   macro avg     0.8759    0.8945    0.8831       557
weighted avg     0.8968    0.8905    0.8918       557

","[['318', '43'], ['18', '178']]",0.9464,0.8809,0.9125,361,0.8054,0.9082,0.8537,196,0.8905,0.8759,0.8945,0.8831,0.8968,0.8905,0.8918
FastText,gp_topic_cos,"              precision    recall  f1-score   support

         非谣言     0.9711    0.8366    0.8988       361
          谣言     0.7602    0.9541    0.8462       196

    accuracy                         0.8779       557
   macro avg     0.8656    0.8953    0.8725       557
weighted avg     0.8968    0.8779    0.8803       557

","[['302', '59'], ['9', '187']]",0.9711,0.8366,0.8988,361,0.7602,0.9541,0.8462,196,0.8779,0.8656,0.8953,0.8725,0.8968,0.8779,0.8803
FastText,gp_topic_length,"              precision    recall  f1-score   support

         非谣言     0.9704    0.8172    0.8872       361
          谣言     0.7391    0.9541    0.8330       196

    accuracy                         0.8654       557
   macro avg     0.8548    0.8856    0.8601       557
weighted avg     0.8890    0.8654    0.8681       557

","[['295', '66'], ['9', '187']]",0.9704,0.8172,0.8872,361,0.7391,0.9541,0.8330,196,0.8654,0.8548,0.8856,0.8601,0.8890,0.8654,0.8681
