model,mode,report,matrix,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,accuracy,macro avg_precision,macro avg_recall,macro avg_f1,weighted avg_precision,weighted avg_recall,weighted avg_f1
FastText,,"              precision    recall  f1-score   support

         非谣言     0.9683    0.8449    0.9024       361
          谣言     0.7686    0.9490    0.8493       196

    accuracy                         0.8815       557
   macro avg     0.8684    0.8969    0.8758       557
weighted avg     0.8980    0.8815    0.8837       557

","[['305', '56'], ['10', '186']]",0.9683,0.8449,0.9024,361,0.7686,0.9490,0.8493,196,0.8815,0.8684,0.8969,0.8758,0.8980,0.8815,0.8837
FastText,gp_raw_topic,"              precision    recall  f1-score   support

         非谣言     0.8968    0.9391    0.9175       361
          谣言     0.8771    0.8010    0.8373       196

    accuracy                         0.8905       557
   macro avg     0.8870    0.8700    0.8774       557
weighted avg     0.8899    0.8905    0.8893       557

","[['339', '22'], ['39', '157']]",0.8968,0.9391,0.9175,361,0.8771,0.8010,0.8373,196,0.8905,0.8870,0.8700,0.8774,0.8899,0.8905,0.8893
FastText,gp_raw_topic_cos,"              precision    recall  f1-score   support

         非谣言     0.9123    0.9224    0.9174       361
          谣言     0.8542    0.8367    0.8454       196

    accuracy                         0.8923       557
   macro avg     0.8832    0.8796    0.8814       557
weighted avg     0.8919    0.8923    0.8920       557

","[['333', '28'], ['32', '164']]",0.9123,0.9224,0.9174,361,0.8542,0.8367,0.8454,196,0.8923,0.8832,0.8796,0.8814,0.8919,0.8923,0.8920
FastText,gp_raw_topic_length,"              precision    recall  f1-score   support

         非谣言     0.9049    0.9224    0.9136       361
          谣言     0.8519    0.8214    0.8364       196

    accuracy                         0.8869       557
   macro avg     0.8784    0.8719    0.8750       557
weighted avg     0.8862    0.8869    0.8864       557

","[['333', '28'], ['35', '161']]",0.9049,0.9224,0.9136,361,0.8519,0.8214,0.8364,196,0.8869,0.8784,0.8719,0.8750,0.8862,0.8869,0.8864
FastText,gp_raw_topic_linguistic,"              precision    recall  f1-score   support

         非谣言     0.8992    0.9391    0.9187       361
          谣言     0.8778    0.8061    0.8404       196

    accuracy                         0.8923       557
   macro avg     0.8885    0.8726    0.8796       557
weighted avg     0.8917    0.8923    0.8912       557

","[['339', '22'], ['38', '158']]",0.8992,0.9391,0.9187,361,0.8778,0.8061,0.8404,196,0.8923,0.8885,0.8726,0.8796,0.8917,0.8923,0.8912
FastText,gp_raw_topic_linguistic_sentiment,"              precision    recall  f1-score   support

         非谣言     0.9059    0.9335    0.9195       361
          谣言     0.8703    0.8214    0.8451       196

    accuracy                         0.8941       557
   macro avg     0.8881    0.8775    0.8823       557
weighted avg     0.8934    0.8941    0.8933       557

","[['337', '24'], ['35', '161']]",0.9059,0.9335,0.9195,361,0.8703,0.8214,0.8451,196,0.8941,0.8881,0.8775,0.8823,0.8934,0.8941,0.8933
FastText,gp_raw_topic_sentiment,"              precision    recall  f1-score   support

         非谣言     0.9133    0.9335    0.9233       361
          谣言     0.8723    0.8367    0.8542       196

    accuracy                         0.8995       557
   macro avg     0.8928    0.8851    0.8887       557
weighted avg     0.8989    0.8995    0.8990       557

","[['337', '24'], ['32', '164']]",0.9133,0.9335,0.9233,361,0.8723,0.8367,0.8542,196,0.8995,0.8928,0.8851,0.8887,0.8989,0.8995,0.8990
FastText,gp_topic,"              precision    recall  f1-score   support

         非谣言     0.9187    0.9391    0.9288       361
          谣言     0.8830    0.8469    0.8646       196

    accuracy                         0.9066       557
   macro avg     0.9008    0.8930    0.8967       557
weighted avg     0.9061    0.9066    0.9062       557

","[['339', '22'], ['30', '166']]",0.9187,0.9391,0.9288,361,0.8830,0.8469,0.8646,196,0.9066,0.9008,0.8930,0.8967,0.9061,0.9066,0.9062
FastText,gp_topic_cos,"              precision    recall  f1-score   support

         非谣言     0.9626    0.8560    0.9062       361
          谣言     0.7797    0.9388    0.8519       196

    accuracy                         0.8851       557
   macro avg     0.8711    0.8974    0.8790       557
weighted avg     0.8982    0.8851    0.8870       557

","[['309', '52'], ['12', '184']]",0.9626,0.8560,0.9062,361,0.7797,0.9388,0.8519,196,0.8851,0.8711,0.8974,0.8790,0.8982,0.8851,0.8870
FastText,gp_topic_length,"              precision    recall  f1-score   support

         非谣言     0.9574    0.8726    0.9130       361
          谣言     0.7982    0.9286    0.8585       196

    accuracy                         0.8923       557
   macro avg     0.8778    0.9006    0.8858       557
weighted avg     0.9014    0.8923    0.8938       557

","[['315', '46'], ['14', '182']]",0.9574,0.8726,0.9130,361,0.7982,0.9286,0.8585,196,0.8923,0.8778,0.9006,0.8858,0.9014,0.8923,0.8938
FastText,gp_topic_linguistic,"              precision    recall  f1-score   support

         非谣言     0.9600    0.8643    0.9096       361
          谣言     0.7888    0.9337    0.8551       196

    accuracy                         0.8887       557
   macro avg     0.8744    0.8990    0.8824       557
weighted avg     0.8998    0.8887    0.8905       557

","[['312', '49'], ['13', '183']]",0.9600,0.8643,0.9096,361,0.7888,0.9337,0.8551,196,0.8887,0.8744,0.8990,0.8824,0.8998,0.8887,0.8905
FastText,gp_topic_linguistic_sentiment,"              precision    recall  f1-score   support

         非谣言     0.9599    0.8615    0.9080       361
          谣言     0.7854    0.9337    0.8531       196

    accuracy                         0.8869       557
   macro avg     0.8726    0.8976    0.8806       557
weighted avg     0.8985    0.8869    0.8887       557

","[['311', '50'], ['13', '183']]",0.9599,0.8615,0.9080,361,0.7854,0.9337,0.8531,196,0.8869,0.8726,0.8976,0.8806,0.8985,0.8869,0.8887
FastText,gp_topic_sentiment,"              precision    recall  f1-score   support

         非谣言     0.9740    0.8310    0.8969       361
          谣言     0.7550    0.9592    0.8449       196

    accuracy                         0.8761       557
   macro avg     0.8645    0.8951    0.8709       557
weighted avg     0.8970    0.8761    0.8786       557

","[['300', '61'], ['8', '188']]",0.9740,0.8310,0.8969,361,0.7550,0.9592,0.8449,196,0.8761,0.8645,0.8951,0.8709,0.8970,0.8761,0.8786
FastText,raw_,"              precision    recall  f1-score   support

         非谣言     0.8966    0.9363    0.9160       361
          谣言     0.8722    0.8010    0.8351       196

    accuracy                         0.8887       557
   macro avg     0.8844    0.8687    0.8755       557
weighted avg     0.8880    0.8887    0.8875       557

","[['338', '23'], ['39', '157']]",0.8966,0.9363,0.9160,361,0.8722,0.8010,0.8351,196,0.8887,0.8844,0.8687,0.8755,0.8880,0.8887,0.8875
Transformer,,"              precision    recall  f1-score   support

         非谣言     0.9501    0.8975    0.9231       361
          谣言     0.8287    0.9133    0.8689       196

    accuracy                         0.9031       557
   macro avg     0.8894    0.9054    0.8960       557
weighted avg     0.9074    0.9031    0.9040       557

","[['324', '37'], ['17', '179']]",0.9501,0.8975,0.9231,361,0.8287,0.9133,0.8689,196,0.9031,0.8894,0.9054,0.8960,0.9074,0.9031,0.9040
ldia,,"              precision    recall  f1-score   support

   non-rumor     0.7178    0.5659    0.6329       364
       rumor     0.4148    0.5803    0.4838       193

    accuracy                         0.5709       557
   macro avg     0.5663    0.5731    0.5583       557
weighted avg     0.6128    0.5709    0.5812       557

","[['206', '158'], ['81', '112']]",0.7178,0.5659,0.6329,364,0.4148,0.5803,0.4838,193,0.5709,0.5663,0.5731,0.5583,0.6128,0.5709,0.5812
pca,,"              precision    recall  f1-score   support

   non-rumor     0.8792    0.7995    0.8374       364
       rumor     0.6770    0.7927    0.7303       193

    accuracy                         0.7971       557
   macro avg     0.7781    0.7961    0.7839       557
weighted avg     0.8091    0.7971    0.8003       557

","[['291', '73'], ['40', '153']]",0.8792,0.7995,0.8374,364,0.6770,0.7927,0.7303,193,0.7971,0.7781,0.7961,0.7839,0.8091,0.7971,0.8003
tfidf,,"              precision    recall  f1-score   support

   non-rumor     0.8635    0.7995    0.8302       364
       rumor     0.6682    0.7617    0.7119       193

    accuracy                         0.7864       557
   macro avg     0.7658    0.7806    0.7711       557
weighted avg     0.7958    0.7864    0.7892       557

","[['291', '73'], ['46', '147']]",0.8635,0.7995,0.8302,364,0.6682,0.7617,0.7119,193,0.7864,0.7658,0.7806,0.7711,0.7958,0.7864,0.7892
