model,report,matrix,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,accuracy,macro avg_precision,macro avg_recall,macro avg_f1,weighted avg_precision,weighted avg_recall,weighted avg_f1
FastText_gp_100,"              precision    recall  f1-score   support

         非谣言     0.9308    0.8947    0.9124       361
          谣言     0.8190    0.8776    0.8473       196

    accuracy                         0.8887       557
   macro avg     0.8749    0.8861    0.8799       557
weighted avg     0.8915    0.8887    0.8895       557

","[['323', '38'], ['24', '172']]",0.9308,0.8947,0.9124,361,0.8190,0.8776,0.8473,196,0.8887,0.8749,0.8861,0.8799,0.8915,0.8887,0.8895
FastText_gp_100_sentiment,"              precision    recall  f1-score   support

         非谣言     0.9024    0.9474    0.9243       361
          谣言     0.8933    0.8112    0.8503       196

    accuracy                         0.8995       557
   macro avg     0.8978    0.8793    0.8873       557
weighted avg     0.8992    0.8995    0.8983       557

","[['342', '19'], ['37', '159']]",0.9024,0.9474,0.9243,361,0.8933,0.8112,0.8503,196,0.8995,0.8978,0.8793,0.8873,0.8992,0.8995,0.8983
FastText_gp_300,"              precision    recall  f1-score   support

         非谣言     0.9548    0.8781    0.9149       361
          谣言     0.8044    0.9235    0.8599       196

    accuracy                         0.8941       557
   macro avg     0.8796    0.9008    0.8874       557
weighted avg     0.9019    0.8941    0.8955       557

","[['317', '44'], ['15', '181']]",0.9548,0.8781,0.9149,361,0.8044,0.9235,0.8599,196,0.8941,0.8796,0.9008,0.8874,0.9019,0.8941,0.8955
FastText_gp_300_sentiment,"              precision    recall  f1-score   support

         非谣言     0.9024    0.9474    0.9243       361
          谣言     0.8933    0.8112    0.8503       196

    accuracy                         0.8995       557
   macro avg     0.8978    0.8793    0.8873       557
weighted avg     0.8992    0.8995    0.8983       557

","[['342', '19'], ['37', '159']]",0.9024,0.9474,0.9243,361,0.8933,0.8112,0.8503,196,0.8995,0.8978,0.8793,0.8873,0.8992,0.8995,0.8983
FastText_gp_ldia_100,"              precision    recall  f1-score   support

         非谣言     0.9246    0.9169    0.9207       361
          谣言     0.8492    0.8622    0.8557       196

    accuracy                         0.8977       557
   macro avg     0.8869    0.8896    0.8882       557
weighted avg     0.8981    0.8977    0.8978       557

","[['331', '30'], ['27', '169']]",0.9246,0.9169,0.9207,361,0.8492,0.8622,0.8557,196,0.8977,0.8869,0.8896,0.8882,0.8981,0.8977,0.8978
FastText_gp_ldia_100_sentiment,"              precision    recall  f1-score   support

         非谣言     0.9242    0.9114    0.9177       361
          谣言     0.8408    0.8622    0.8514       196

    accuracy                         0.8941       557
   macro avg     0.8825    0.8868    0.8845       557
weighted avg     0.8948    0.8941    0.8944       557

","[['329', '32'], ['27', '169']]",0.9242,0.9114,0.9177,361,0.8408,0.8622,0.8514,196,0.8941,0.8825,0.8868,0.8845,0.8948,0.8941,0.8944
FastText_gp_ldia_300,"              precision    recall  f1-score   support

         非谣言     0.9318    0.9086    0.9201       361
          谣言     0.8390    0.8776    0.8579       196

    accuracy                         0.8977       557
   macro avg     0.8854    0.8931    0.8890       557
weighted avg     0.8992    0.8977    0.8982       557

","[['328', '33'], ['24', '172']]",0.9318,0.9086,0.9201,361,0.8390,0.8776,0.8579,196,0.8977,0.8854,0.8931,0.8890,0.8992,0.8977,0.8982
FastText_gp_ldia_300_sentiment,"              precision    recall  f1-score   support

         非谣言     0.9140    0.8837    0.8986       361
          谣言     0.7981    0.8469    0.8218       196

    accuracy                         0.8707       557
   macro avg     0.8561    0.8653    0.8602       557
weighted avg     0.8732    0.8707    0.8716       557

","[['319', '42'], ['30', '166']]",0.9140,0.8837,0.8986,361,0.7981,0.8469,0.8218,196,0.8707,0.8561,0.8653,0.8602,0.8732,0.8707,0.8716
FastText_gp_pca_100,"              precision    recall  f1-score   support

         非谣言     0.9045    0.9446    0.9241       361
          谣言     0.8889    0.8163    0.8511       196

    accuracy                         0.8995       557
   macro avg     0.8967    0.8805    0.8876       557
weighted avg     0.8990    0.8995    0.8984       557

","[['341', '20'], ['36', '160']]",0.9045,0.9446,0.9241,361,0.8889,0.8163,0.8511,196,0.8995,0.8967,0.8805,0.8876,0.8990,0.8995,0.8984
FastText_gp_pca_100_sentiment,"              precision    recall  f1-score   support

         非谣言     0.9043    0.9418    0.9227       361
          谣言     0.8840    0.8163    0.8488       196

    accuracy                         0.8977       557
   macro avg     0.8941    0.8791    0.8857       557
weighted avg     0.8971    0.8977    0.8967       557

","[['340', '21'], ['36', '160']]",0.9043,0.9418,0.9227,361,0.8840,0.8163,0.8488,196,0.8977,0.8941,0.8791,0.8857,0.8971,0.8977,0.8967
